Location_Code,Classification,Filled,Unfilled,Total_Jobs,Filled_Percentage,Unfilled_Percentage
K001,PARAPROFESSIONAL,25,21,46,54.35,45.65
K001,SPANISH SPEAKING PARA,1,6,7,14.29,85.71
K002,PARAPROFESSIONAL,20,0,20,100,0
K003,PARAPROFESSIONAL,24,3,27,88.89,11.11
K004,PARAPROFESSIONAL,1042,96,1138,91.56,8.44
K004,SPANISH SPEAKING PARA,23,10,33,69.7,30.3
K005,PARAPROFESSIONAL,57,5,62,91.94,8.06
K005,MALE PARA,25,6,31,80.65,19.35
K006,PARAPROFESSIONAL,99,12,111,89.19,10.81
K007,PARAPROFESSIONAL,207,4,211,98.1,1.9
K008,PARAPROFESSIONAL,21,1,22,95.45,4.55
K009,PARAPROFESSIONAL,211,1,212,99.53,0.47
K010,PARAPROFESSIONAL,93,0,93,100,0
K011,PARAPROFESSIONAL,378,0,378,100,0
K012,PARAPROFESSIONAL,273,2,275,99.27,0.73
K013,PARAPROFESSIONAL,208,63,271,76.75,23.25
K014,PARAPROFESSIONAL,83,15,98,84.69,15.31
K015,MALE PARA,221,55,276,80.07,19.93
K015,FEMALE PARA,232,27,259,89.58,10.42
K015,PARAPROFESSIONAL,96,15,111,86.49,13.51
K015,SPANISH SPEAKING PARA,51,26,77,66.23,33.77
K016,PARAPROFESSIONAL,55,11,66,83.33,16.67
K017,PARAPROFESSIONAL,91,4,95,95.79,4.21
K018,PARAPROFESSIONAL,27,4,31,87.1,12.9
K020,FEMALE PARA,127,0,127,100,0
K020,PARAPROFESSIONAL,1,1,2,50,50
K021,PARAPROFESSIONAL,84,0,84,100,0
K023,FEMALE PARA,80,3,83,96.39,3.61
K023,PARAPROFESSIONAL,4,6,10,40,60
K024,PARAPROFESSIONAL,180,12,192,93.75,6.25
K025,SPANISH SPEAKING PARA,1,19,20,5,95
K026,PARAPROFESSIONAL,36,4,40,90,10
K029,PARAPROFESSIONAL,149,4,153,97.39,2.61
K030,PARAPROFESSIONAL,157,6,163,96.32,3.68
K031,PARAPROFESSIONAL,131,0,131,100,0
K031,FEMALE PARA,7,25,32,21.88,78.12
K032,PARAPROFESSIONAL,195,3,198,98.48,1.52
K034,PARAPROFESSIONAL,141,7,148,95.27,4.73
K035,PARAPROFESSIONAL,25,1,26,96.15,3.85
K036,PARAPROFESSIONAL,894,151,1045,85.55,14.45
